"","Motu","Exposure","TransectStart","TransectEnd","TransectID","Number_transects_side","Latitude","Longitude","TransectArea","breeding_density_ha","breeding_biomass_kgha"
"31","Rimatuu","Exposed","0698","0699","0698to0699",11,-17.031161,-149.55496,505,39.6039603960396,6.05940594059406
"32","Rimatuu","Exposed","0699","0700","0699to0700",11,-17.030392,-149.55447,500,40,6.12
"33","Rimatuu","Exposed","0700","0701","0700to0701",11,-17.029661,-149.55392,495,0,0
"34","Rimatuu","Exposed","0701","0702","0701to0702",11,-17.028993,-149.5533,495,80.8080808080808,15.2727272727273
"35","Rimatuu","Exposed","0702","0606","0702to0606",11,-17.028459,-149.55256,360,27.7777777777778,3.25
"36","Rimatuu","Protected","0648","0686","0648to0686",19,-17.027799,-149.56056,520,0,0
"37","Rimatuu","Protected","0686","0687","0686to0687",19,-17.028693,-149.56049,500,0,0
"38","Rimatuu","Protected","0631","0632","0631to0632",19,-17.017682,-149.56295,515,58.252427184466,11.0097087378641
"39","Rimatuu","Protected","0632","0633","0632to0633",19,-17.018564,-149.56312,505,39.6039603960396,7.48514851485148
"40","Rimatuu","Protected","0633","0634","0633to0634",19,-17.019437,-149.5629,500,0,0
"41","Rimatuu","Protected","0634","0635","0634to0635",19,-17.020221,-149.56244,505,79.2079207920792,13.5445544554455
"42","Rimatuu","Protected","0635","0636","0635to0636",19,-17.021051,-149.56208,500,20,2.34
"43","Rimatuu","Protected","0636","0637","0636to0637",19,-17.021805,-149.56156,500,0,0
"44","Rimatuu","Protected","0637","0638","0637to0638",19,-17.022622,-149.56117,500,20,3.78
"45","Rimatuu","Protected","0638","0644","0638to0644",19,-17.023438,-149.56079,500,20,3.78
"46","Rimatuu","Protected","0644","0645","0644to0645",19,-17.024287,-149.56046,500,0,0
"47","Rimatuu","Protected","0645","0646","0645to0646",19,-17.025162,-149.56024,495,0,0
"48","Rimatuu","Protected","0646","0647","0646to0647",19,-17.026058,-149.56018,490,0,0
"49","Rimatuu","Protected","0647","0648","0647to0648",19,-17.026923,-149.56039,505,0,0
"50","Rimatuu","Protected","0687","0688","0687to0688",19,-17.02959,-149.56051,500,20,3.78
"51","Rimatuu","Protected","0688","0689","0688to0689",19,-17.030485,-149.56055,520,38.4615384615385,5.88461538461539
"52","Rimatuu","Protected","0689","0690","0689to0690",19,-17.031391,-149.56053,510,0,0
"53","Rimatuu","Protected","0690","0691","0690to0691",19,-17.032288,-149.56047,500,60,9.9
"54","Rimatuu","Protected","0691","0692","0691to0692",19,-17.033127,-149.56012,520,96.1538461538462,12.6346153846154
"55","Tahuna iti","South","0717","0718","0717to0718",4,-17.028198,-149.55192,530,679.245283018868,128.377358490566
"56","Tahuna iti","South","0718","0719","0718to0719",4,-17.028981,-149.55146,510,1529.41176470588,289.058823529412
"57","Tahuna iti","South","0719","0720","0719to0720",4,-17.029384,-149.55061,535,803.738317757009,210.672897196262
"58","Tahuna iti","South","0720","0721","0720to0721",4,-17.029778,-149.54976,390,1000,189
